transportadora,days_delivery
Transportadora 1,2.8287387933988777
Transportadora 1,6.994690893167172
Transportadora 1,5.565956996103984
Transportadora 1,1.987410572163816
Transportadora 1,3.842799496062927
Transportadora 1,8.302873074194302
Transportadora 1,1.0
Transportadora 1,4.142174742287645
Transportadora 1,7.531872517411069
Transportadora 1,3.2665191954697965
Transportadora 1,3.6422276967558913
Transportadora 1,4.810582062126218
Transportadora 1,7.982779252248576
Transportadora 1,3.722196006630698
Transportadora 1,4.112036080707869
Transportadora 1,4.1312974487629655
Transportadora 1,9.41186016545091
Transportadora 1,9.373572177947572
Transportadora 1,7.008107795757754
Transportadora 1,5.772372798349712
Transportadora 1,6.4747371517924845
Transportadora 1,7.981464056301598
Transportadora 1,3.128332263195217
Transportadora 1,7.351658089564207
Transportadora 1,2.492238664501975
Transportadora 1,3.7244969950931797
Transportadora 1,6.814210391600603
Transportadora 1,2.142638599548062
Transportadora 1,4.719862559622668
Transportadora 1,3.276490208280629
Transportadora 1,4.488761258938807
Transportadora 1,1.0
Transportadora 1,1.456933790980306
Transportadora 1,3.600245530804165
Transportadora 1,6.854924863517165
Transportadora 1,4.652728634419568
Transportadora 1,5.005691831793622
Transportadora 1,6.37644542220457
Transportadora 1,3.240927313981896
Transportadora 1,5.567254647614582
Transportadora 1,3.3892669638687685
Transportadora 1,1.5446610117587856
Transportadora 1,4.218200412489798
Transportadora 1,6.147611724810115
Transportadora 1,5.677178101999603
Transportadora 1,4.97633901104236
Transportadora 1,9.784730531875452
Transportadora 1,5.825824320617557
Transportadora 1,6.957472011874693
Transportadora 1,9.476286676995905
Transportadora 1,2.4118293536775024
Transportadora 1,2.922423579590093
Transportadora 1,8.487424450245861
Transportadora 1,3.403874529517875
Transportadora 1,5.05936646060666
Transportadora 1,7.138631938848697
Transportadora 1,6.781412782586342
Transportadora 1,8.509772363962218
Transportadora 1,7.991288274066939
Transportadora 1,7.1387853394114735
Transportadora 1,3.4545825715056173
Transportadora 1,6.5897253355864365
Transportadora 1,5.628543989013734
Transportadora 1,2.347469080119088
Transportadora 1,7.834598092953705
Transportadora 1,6.614473069157133
Transportadora 1,5.090980161262194
Transportadora 1,4.533815878031173
Transportadora 1,2.603397710598426
Transportadora 1,5.3990481471172656
Transportadora 1,5.936878238891288
Transportadora 1,3.337690031513442
Transportadora 1,7.324408098199059
Transportadora 1,2.8055939070339315
Transportadora 1,1.0
Transportadora 1,7.079454181785401
Transportadora 1,4.193267923795785
Transportadora 1,4.747940829373969
Transportadora 1,3.3249665543498934
Transportadora 1,1.7880744785651945
Transportadora 1,7.510474749448437
Transportadora 1,3.622262032306157
Transportadora 1,8.32190497629588
Transportadora 1,6.614616372421457
Transportadora 1,4.37048370656508
Transportadora 1,2.828195197746267
Transportadora 1,3.5350760265590857
Transportadora 1,2.5749537378096607
Transportadora 1,9.174226719176371
Transportadora 1,5.32888246045965
Transportadora 1,7.300411085093264
Transportadora 1,2.465295901979545
Transportadora 1,5.362070259194008
Transportadora 1,7.355723877617157
Transportadora 1,4.329978476133968
Transportadora 1,7.062228917843484
Transportadora 1,2.830864175988467
Transportadora 1,2.2730569107628313
Transportadora 1,5.758801224156272
Transportadora 1,4.241647130854895
Transportadora 1,6.284109378543663
Transportadora 1,1.044224136959102
Transportadora 1,6.424529270941036
Transportadora 1,10.19660785453863
Transportadora 1,4.950748037137039
Transportadora 1,5.068284257819683
Transportadora 1,5.359098969277358
Transportadora 1,1.2760485784164257
Transportadora 1,5.8522932793806195
Transportadora 1,1.7891805119680706
Transportadora 1,4.144640803752392
Transportadora 1,7.485739099207474
Transportadora 1,3.5295660877998474
Transportadora 1,6.0024979791348
Transportadora 1,7.0254781079127415
Transportadora 1,5.557481712192
Transportadora 1,2.2581030598107845
Transportadora 1,4.3350494492971725
Transportadora 1,8.918822684776572
Transportadora 1,1.0
Transportadora 1,4.448427972267649
Transportadora 1,3.895783857023784
Transportadora 1,5.2414947261942775
Transportadora 1,6.496431234374461
Transportadora 1,8.217381936044106
Transportadora 1,4.459535215981684
Transportadora 1,6.624682659953641
Transportadora 1,5.999480289730346
Transportadora 1,5.948694595743601
Transportadora 1,3.8721521369470553
Transportadora 1,3.0053570624481987
Transportadora 1,2.799913774758606
Transportadora 1,3.487125581201753
Transportadora 1,5.643373151732453
