alert_id,alert_time
1,2026-09-01 08:00:00.000000000
2,2026-09-01 08:05:37.873024783
3,2026-09-01 08:41:45.160455043
4,2026-09-01 08:57:33.217354395
5,2026-09-01 09:08:30.535993113
6,2026-09-01 09:10:32.665899845
7,2026-09-01 09:12:34.775230023
8,2026-09-01 09:13:17.859143421
9,2026-09-01 09:37:25.945365846
10,2026-09-01 09:48:27.684516457
11,2026-09-01 10:03:14.184560884
12,2026-09-01 10:03:29.160062643
13,2026-09-01 10:45:31.721444756
14,2026-09-01 11:06:57.950715971
15,2026-09-01 11:09:49.805806150
16,2026-09-01 11:12:14.294678049
17,2026-09-01 11:14:40.174902488
18,2026-09-01 11:19:01.357587699
19,2026-09-01 11:27:56.985625918
20,2026-09-01 11:34:44.172313999
21,2026-09-01 11:38:52.012868637
22,2026-09-01 11:50:13.399897844
23,2026-09-01 11:52:01.568758527
24,2026-09-01 11:56:10.339927168
25,2026-09-01 12:01:38.859524287
26,2026-09-01 12:08:57.292499546
27,2026-09-01 12:27:24.606427488
28,2026-09-01 12:30:04.976248220
29,2026-09-01 12:38:44.837239843
30,2026-09-01 12:49:31.040639186
31,2026-09-01 12:50:05.286611010
32,2026-09-01 13:01:18.726385877
33,2026-09-01 13:03:33.338487300
34,2026-09-01 13:04:21.768517533
35,2026-09-01 13:40:02.823728857
36,2026-09-01 14:20:29.677575429
37,2026-09-01 14:40:19.356307854
38,2026-09-01 14:44:40.923567031
39,2026-09-01 14:45:54.923233832
40,2026-09-01 14:59:44.903783263
41,2026-09-01 15:06:42.569189924
42,2026-09-01 15:08:16.278798371
43,2026-09-01 15:16:28.432802627
44,2026-09-01 15:16:53.628282066
45,2026-09-01 15:45:41.932760988
46,2026-09-01 15:49:17.542360313
47,2026-09-01 16:02:19.646535279
48,2026-09-01 16:06:48.600074072
49,2026-09-01 16:15:37.159919126
50,2026-09-01 16:25:06.841053672
51,2026-09-01 16:27:34.000845317
52,2026-09-01 17:09:28.821980887
