Año,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2024,2024-01-01,"3822,05",1,Enero,1
2023,2023-12-31,"3822,05",31,Diciembre,12
2023,2023-12-30,"3822,05",30,Diciembre,12
2023,2023-12-29,"3822,05",29,Diciembre,12
2023,2023-12-28,"3844,81",28,Diciembre,12
2023,2023-12-27,"3871,45",27,Diciembre,12
2023,2023-12-26,"3915,43",26,Diciembre,12
2023,2023-12-25,"3915,43",25,Diciembre,12
2023,2023-12-24,"3915,43",24,Diciembre,12
2023,2023-12-23,"3915,43",23,Diciembre,12
2023,2023-12-22,"3943,03",22,Diciembre,12
2023,2023-12-21,"3948,54",21,Diciembre,12
2023,2023-12-20,"3925,77",20,Diciembre,12
2023,2023-12-19,"3932,59",19,Diciembre,12
2023,2023-12-18,"3956,76",18,Diciembre,12
2023,2023-12-17,"3956,76",17,Diciembre,12
2023,2023-12-16,"3956,76",16,Diciembre,12
2023,2023-12-15,"3955,88",15,Diciembre,12
2023,2023-12-14,"3999,43",14,Diciembre,12
2023,2023-12-13,"3990,88",13,Diciembre,12
2023,2023-12-12,"3982,5",12,Diciembre,12
2023,2023-12-11,"3998,51",11,Diciembre,12
2023,2023-12-10,"3998,51",10,Diciembre,12
2023,2023-12-09,"3998,51",9,Diciembre,12
2023,2023-12-08,"3998,51",8,Diciembre,12
2023,2023-12-07,"3989,55",7,Diciembre,12
2023,2023-12-06,"4023,21",6,Diciembre,12
2023,2023-12-05,"3999,91",5,Diciembre,12
2023,2023-12-04,"3983,15",4,Diciembre,12
2023,2023-12-03,"3983,15",3,Diciembre,12
2023,2023-12-02,"3983,15",2,Diciembre,12
2023,2023-12-01,"4045,22",1,Diciembre,12
2023,2023-11-30,"3980,67",30,Noviembre,11
2023,2023-11-29,"3957,77",29,Noviembre,11
2023,2023-11-28,"3989,89",28,Noviembre,11
2023,2023-11-27,"4044,51",27,Noviembre,11
2023,2023-11-26,"4044,51",26,Noviembre,11
2023,2023-11-25,"4044,51",25,Noviembre,11
2023,2023-11-24,"4092,33",24,Noviembre,11
2023,2023-11-23,"4092,33",23,Noviembre,11
2023,2023-11-22,"4060,15",22,Noviembre,11
2023,2023-11-21,"4033,83",21,Noviembre,11
2023,2023-11-20,"4116,59",20,Noviembre,11
2023,2023-11-19,"4116,59",19,Noviembre,11
2023,2023-11-18,"4116,59",18,Noviembre,11
2023,2023-11-17,"4077,44",17,Noviembre,11
2023,2023-11-16,"3976,84",16,Noviembre,11
2023,2023-11-15,"3963,57",15,Noviembre,11
2023,2023-11-14,"4037,19",14,Noviembre,11
2023,2023-11-13,"4037,19",13,Noviembre,11
2023,2023-11-12,"4037,19",12,Noviembre,11
2023,2023-11-11,"4037,19",11,Noviembre,11
2023,2023-11-10,"4056,94",10,Noviembre,11
2023,2023-11-09,"4065,79",9,Noviembre,11
2023,2023-11-08,"4005,06",8,Noviembre,11
2023,2023-11-07,"3975,09",7,Noviembre,11
2023,2023-11-06,"3975,09",6,Noviembre,11
2023,2023-11-05,"3975,09",5,Noviembre,11
2023,2023-11-04,"3975,09",4,Noviembre,11
2023,2023-11-03,"4047,11",3,Noviembre,11
2023,2023-11-02,"4117,71",2,Noviembre,11
2023,2023-11-01,"4114,29",1,Noviembre,11
2023,2023-10-31,"4060,83",31,Octubre,10
2023,2023-10-30,"4120,62",30,Octubre,10
2023,2023-10-29,"4120,62",29,Octubre,10
2023,2023-10-28,"4120,62",28,Octubre,10
2023,2023-10-27,"4154,94",27,Octubre,10
2023,2023-10-26,"4201,53",26,Octubre,10
2023,2023-10-25,"4213,97",25,Octubre,10
2023,2023-10-24,"4221,39",24,Octubre,10
2023,2023-10-23,"4238,85",23,Octubre,10
2023,2023-10-22,"4238,85",22,Octubre,10
2023,2023-10-21,"4238,85",21,Octubre,10
2023,2023-10-20,"4249,71",20,Octubre,10
2023,2023-10-19,"4227,39",19,Octubre,10
2023,2023-10-18,"4222,09",18,Octubre,10
2023,2023-10-17,4249,17,Octubre,10
2023,2023-10-16,4249,16,Octubre,10
2023,2023-10-15,4249,15,Octubre,10
2023,2023-10-14,4249,14,Octubre,10
2023,2023-10-13,"4230,61",13,Octubre,10
2023,2023-10-12,"4212,5",12,Octubre,10
2023,2023-10-11,"4231,97",11,Octubre,10
2023,2023-10-10,"4386,66",10,Octubre,10
2023,2023-10-09,"4386,66",9,Octubre,10
2023,2023-10-08,"4386,66",8,Octubre,10
2023,2023-10-07,"4386,66",7,Octubre,10
2023,2023-10-06,"4359,4",6,Octubre,10
2023,2023-10-05,"4252,09",5,Octubre,10
2023,2023-10-04,"4187,01",4,Octubre,10
2023,2023-10-03,"4141,43",3,Octubre,10
2023,2023-10-02,"4053,76",2,Octubre,10
2023,2023-10-01,"4053,76",1,Octubre,10
2023,2023-09-30,"4053,76",30,Septiembre,9
2023,2023-09-29,"4085,57",29,Septiembre,9
2023,2023-09-28,"4093,6",28,Septiembre,9
2023,2023-09-27,"4068,73",27,Septiembre,9
2023,2023-09-26,"4052,54",26,Septiembre,9
2023,2023-09-25,"3948,7",25,Septiembre,9
2023,2023-09-24,"3948,7",24,Septiembre,9
2023,2023-09-23,"3948,7",23,Septiembre,9
2023,2023-09-22,"3948,25",22,Septiembre,9
2023,2023-09-21,"3907,21",21,Septiembre,9
2023,2023-09-20,"3902,54",20,Septiembre,9
2023,2023-09-19,"3905,95",19,Septiembre,9
2023,2023-09-18,"3928,28",18,Septiembre,9
2023,2023-09-17,"3928,28",17,Septiembre,9
2023,2023-09-16,"3928,28",16,Septiembre,9
2023,2023-09-15,"3926,59",15,Septiembre,9
2023,2023-09-14,"3950,92",14,Septiembre,9
2023,2023-09-13,"3993,53",13,Septiembre,9
2023,2023-09-12,"3997,74",12,Septiembre,9
2023,2023-09-11,"4012,26",11,Septiembre,9
2023,2023-09-10,"4012,26",10,Septiembre,9
2023,2023-09-09,"4012,26",9,Septiembre,9
2023,2023-09-08,"4045,83",8,Septiembre,9
2023,2023-09-07,"4093,04",7,Septiembre,9
2023,2023-09-06,"4089,46",6,Septiembre,9
2023,2023-09-05,"4063,36",5,Septiembre,9
2023,2023-09-04,"4063,36",4,Septiembre,9
2023,2023-09-03,"4063,36",3,Septiembre,9
2023,2023-09-02,"4063,36",2,Septiembre,9
2023,2023-09-01,"4099,2",1,Septiembre,9
2023,2023-08-31,"4085,33",31,Agosto,8
2023,2023-08-30,"4110,08",30,Agosto,8
2023,2023-08-29,"4111,52",29,Agosto,8
2023,2023-08-28,"4117,78",28,Agosto,8
2023,2023-08-27,"4117,78",27,Agosto,8
2023,2023-08-26,"4117,78",26,Agosto,8
2023,2023-08-25,"4076,9",25,Agosto,8
2023,2023-08-24,"4085,89",24,Agosto,8
2023,2023-08-23,"4120,07",23,Agosto,8
2023,2023-08-22,"4124,04",22,Agosto,8
2023,2023-08-21,"4124,04",21,Agosto,8
2023,2023-08-20,"4124,04",20,Agosto,8
2023,2023-08-19,"4124,04",19,Agosto,8
2023,2023-08-18,"4093,96",18,Agosto,8
2023,2023-08-17,"4130,33",17,Agosto,8
2023,2023-08-16,"4096,08",16,Agosto,8
2023,2023-08-15,"4029,95",15,Agosto,8
2023,2023-08-14,"3973,41",14,Agosto,8
2023,2023-08-13,"3973,41",13,Agosto,8
2023,2023-08-12,"3973,41",12,Agosto,8
2023,2023-08-11,"3955,23",11,Agosto,8
2023,2023-08-10,"4031,65",10,Agosto,8
2023,2023-08-09,"4076,46",9,Agosto,8
2023,2023-08-08,"4077,9",8,Agosto,8
