id_credit,days_overdue_month1
v182,11
v294,5
d248,1
s284,0
t240,0
e275,10
g197,0
e397,1
z399,5
h292,0
v272,0
x242,5
a337,1
w374,0
a324,1
n362,1
j118,10
p174,0
z387,0
a113,0
w288,0
k323,0
r328,0
t371,0
j341,0
l265,0
g329,4
b339,1
x315,2
b101,7
v136,2
c343,0
u373,0
u198,1
h299,1
y364,14
l170,5
u320,0
h293,1
m351,2
j211,2
i249,4
m282,8
r382,0
i378,0
x185,0
a157,3
o196,0
z256,2
x137,0
d239,0
z261,1
l124,0
g253,0
l268,3
q279,4
i116,13
r205,3
u383,0
n203,6
u103,0
p326,0
w259,1
x385,0
v162,0
x212,0
b262,4
v175,3
i372,1
w148,5
n227,0
i321,0
l381,0
m263,2
p220,0
m111,1
h143,11
m287,0
a392,2
s215,3
v200,8
r301,0
u333,3
i112,3
e208,2
v314,0
d309,2
m396,6
y127,0
l141,0
m221,0
r270,0
o121,0
x338,3
j277,0
s358,3
c180,6
k300,4
h296,0
z271,2
e347,0
h370,0
i235,2
s160,0
i158,14
b252,0
e236,0
p273,3
h388,0
d367,1
p250,1
p237,12
r138,0
p189,5
y207,0
b114,0
d368,6
e152,8
u223,11
a202,3
w319,2
h380,0
d171,0
i191,0
d232,0
j224,5
d298,0
e357,4
f394,0
z310,8
p153,0
w167,1
d146,14
z386,0
a266,5
j181,0
a274,1
y151,0
a336,2
r352,0
f209,0
c125,0
h233,0
o132,0
e348,0
a302,13
r390,0
a280,3
t164,14
l228,8
x225,0
z109,0
v393,0
k267,0
z285,0
q179,0
i226,4
p327,0
k307,0
q365,0
m295,0
f135,1
r156,10
h384,0
i155,0
r229,0
f128,1
a108,6
p246,5
p332,1
z115,0
a238,1
t133,0
y139,0
y176,0
t281,5
t317,2
i217,0
n244,5
r192,5
x172,4
s147,4
j134,6
q190,12
z247,3
e377,0
h204,2
o183,13
u391,13
q344,2
v311,11
g168,0
h359,8
u353,0
r283,0
p322,1
y219,0
y142,0
b342,1
k325,0
y345,0
u379,0
q361,1
b129,0
c163,0
m363,0
t100,0
o194,0
v369,2
s278,0
o230,0
n349,4
c145,2
a334,3
d117,11
l289,1
j355,1
w234,11
e335,0
o105,1
k193,3
m356,13
r340,0
d395,13
n243,3
z104,0
j264,13
h255,5
i119,2
d184,0
w210,0
j102,2
b206,5
k130,0
u140,0
i161,11
u389,1
o330,0
s305,1
y331,10
f122,0
o251,0
f216,0
j312,0
y260,2
g150,0
c222,4
r276,0
r297,1
k178,0
r126,6
c107,0
z213,4
l254,0
m257,0
h306,1
v195,14
f316,4
i131,0
u231,0
w106,0
s166,3
q218,3
n169,0
a304,2
v375,0
n354,6
g291,2
w201,0
d360,2
s149,2
x241,4
i269,0
e186,0
o376,6
b199,0
a258,9
b188,5
k366,7
x177,1
q173,0
i290,5
s154,3
d214,10
y308,1
h165,6
d313,0
y120,6
l245,1
e123,7
o398,5
m187,0
k303,4
p159,8
o110,0
g318,0
c346,0
k144,3
y350,11
n286,0
