Operative_system,price
android,15.744346818176783
android,15.917612781192616
iOS,24.454598979519236
android,16.148923839880847
iOS,24.997706376063455
android,14.155385740566722
android,14.89821645258441
iOS,22.489969506714154
iOS,24.631834667976193
android,13.95111503281202
android,15.232896949057068
iOS,24.250051812127378
android,14.707263274048493
android,15.025961641583795
android,14.582758050839894
iOS,24.46594197928206
iOS,25.927965684631914
android,15.37897571815277
android,14.198139306601538
android,14.453391181612687
android,15.763344530943012
iOS,23.142911319161463
android,15.11361034541915
iOS,23.052387625396534
iOS,23.57330794261857
iOS,24.08288464387526
iOS,21.837702166569567
iOS,25.334596507905825
android,15.847131383526746
android,13.515523282251754
iOS,25.355178482980392
android,13.974890948035423
iOS,23.104011867300315
android,15.335064490020937
android,14.777744854404316
android,15.365250743568147
iOS,24.53552442419456
iOS,23.596142054385034
android,15.82323386097949
android,14.447548742038826
iOS,24.125856235362303
iOS,23.154375223344545
iOS,23.0592906404025
android,15.162673224251495
android,13.694093440556173
android,13.63768307035121
iOS,25.716120077965126
android,15.69876298905729
android,14.17582017007052
android,15.039974076080235
iOS,23.556434968699897
iOS,22.388304330706063
iOS,24.020681655386124
iOS,23.513252109531344
android,14.74958366079162
iOS,24.435929760067452
android,16.50104345517478
android,14.860107159197675
iOS,24.534224343054134
iOS,22.806407600419043
android,15.391461324439188
iOS,24.573272337735247
iOS,24.89665123445104
iOS,22.5362891672095
android,14.473041269825465
android,15.83373417706812
android,13.672700020985221
iOS,21.78354734749056
iOS,26.200118243095833
android,14.63530560036989
iOS,23.548570506835944
iOS,24.972283984570176
android,14.443958679811914
iOS,24.007588755398427
android,16.693300323261596
android,13.32988336097449
android,13.921106877321803
android,14.544728202501965
android,15.085380145136376
android,16.052219183515962
iOS,24.15480736880807
android,14.304227670851358
iOS,24.248375858470325
android,14.965381197872798
iOS,23.086885723555106
android,15.934410212067615
android,16.37313842479935
iOS,25.319941431291806
iOS,26.045219209122376
android,15.321570341462824
iOS,24.797014210303765
iOS,25.09181345702978
iOS,24.240521779164993
android,14.13785784836235
iOS,25.439124867814947
iOS,23.949981121034835
iOS,23.408022410480406
android,13.340335013114618
iOS,25.15466154180737
android,14.273806445822558
