,NIT,y,Ingresos de actividades ordinarias,Costo de ventas,Ganancia bruta,Otros ingresos,Gastos de ventas,Gastos de administración,Otros gastos,Otras ganancias (pérdidas),Ganancia (pérdida) por actividades de operación,Ingresos financieros,Costos financieros,Ganancia (pérdida) antes de impuestos,Ingreso (gasto) por impuestos,Ganancia (pérdida) procedente de operaciones continuadas,Ganancia (pérdida) procedente de operaciones discontinuadas,Ganancia (pérdida),_merge
0,800009830.0,0,1322093.0,39724.0,1282369.0,14121.0,14483.0,180234.0,81522.0,,1020251.0,2095.0,95735.0,926611.0,-80929.0,1007540.0,,1007540.0,both
1,800009830.0,0,1322093.0,39724.0,1282369.0,14121.0,14483.0,180234.0,81522.0,,1020251.0,2095.0,95735.0,926611.0,-80929.0,1007540.0,,1007540.0,both
2,800009830.0,0,1322093.0,39724.0,1282369.0,14121.0,14483.0,180234.0,81522.0,,1020251.0,2095.0,95735.0,926611.0,-80929.0,1007540.0,,1007540.0,both
3,800009830.0,0,1322093.0,39724.0,1282369.0,14121.0,14483.0,180234.0,81522.0,,1020251.0,2095.0,95735.0,926611.0,-80929.0,1007540.0,,1007540.0,both
4,800095068.0,0,9514013.0,7554030.0,1959983.0,1665.0,436294.0,537606.0,383833.0,,603915.0,,1175.0,602740.0,161519.0,441221.0,,441221.0,both
5,800095068.0,0,9514013.0,7554030.0,1959983.0,1665.0,436294.0,537606.0,383833.0,,603915.0,,1175.0,602740.0,161519.0,441221.0,,441221.0,both
6,800095068.0,0,9514013.0,7554030.0,1959983.0,1665.0,436294.0,537606.0,383833.0,,603915.0,,1175.0,602740.0,161519.0,441221.0,,441221.0,both
7,800095068.0,0,9514013.0,7554030.0,1959983.0,1665.0,436294.0,537606.0,383833.0,,603915.0,,1175.0,602740.0,161519.0,441221.0,,441221.0,both
8,807004307.0,0,30257844.0,,30257844.0,57512.0,,3161212.0,300006.0,,26854138.0,5325032.0,13235.0,32165935.0,3232714.0,28933221.0,,28933221.0,both
9,807004307.0,0,30257844.0,,30257844.0,57512.0,,3161212.0,300006.0,,26854138.0,5325032.0,13235.0,32165935.0,3232714.0,28933221.0,,28933221.0,both
10,807004307.0,0,30257844.0,,30257844.0,57512.0,,3161212.0,300006.0,,26854138.0,5325032.0,13235.0,32165935.0,3232714.0,28933221.0,,28933221.0,both
11,807004307.0,0,30257844.0,,30257844.0,57512.0,,3161212.0,300006.0,,26854138.0,5325032.0,13235.0,32165935.0,3232714.0,28933221.0,,28933221.0,both
