month,id-product
07,B05
07,D54
07,D25
07,D12
07,D10
07,C23
07,D44
07,D32
07,D44
07,D35
07,B42
07,D10
07,C11
07,C54
07,C11
07,D40
07,D53
07,A53
07,B42
07,D52
07,B34
07,D00
07,D24
07,D22
07,D33
07,D00
07,E13
07,A00
07,D35
07,B14
07,D11
07,D31
07,B11
07,D04
07,D04
07,E40
07,D30
07,C41
07,A40
07,D30
07,C05
07,E43
07,C50
07,C04
07,D52
07,C34
07,D15
07,C40
07,A24
07,D52
07,D21
07,D45
07,D24
07,C01
07,C44
07,D35
07,E32
07,C21
07,D03
07,D51
07,E04
07,A25
07,D20
07,D43
07,C25
07,D32
07,D13
07,A03
07,D21
07,A54
07,D10
07,C51
07,C33
07,D24
07,D25
07,D21
07,D53
07,E25
07,D01
07,C41
07,C23
07,B15
07,C44
07,B55
07,D10
07,C34
07,D05
07,C21
07,B14
07,C44
07,D54
07,B14
07,D45
07,E53
07,C04
07,D05
07,C10
07,C14
07,A50
07,D50
07,D45
07,C14
07,B32
07,D10
07,D40
07,D03
07,D55
07,D52
07,E04
07,B13
07,B42
07,C50
07,C53
07,C44
07,C20
07,D31
07,C32
07,D24
07,D22
07,B55
07,D42
07,E44
07,E02
07,C13
07,D55
07,C32
07,D32
07,D23
07,A11
07,E52
07,D12
07,D41
07,C51
07,C22
07,C15
07,D34
07,E24
07,C52
07,A40
08,C14
08,C12
08,A43
08,D03
08,A25
08,B10
08,A25
08,C43
08,D11
08,B13
08,D35
08,C45
08,D45
08,C41
08,C42
08,B42
08,D14
08,B40
08,D12
08,D33
08,D03
08,D15
08,D00
08,C25
08,A22
08,D42
08,E15
08,C22
08,D35
08,A20
08,C14
08,D40
08,C11
08,D23
08,D24
08,C12
08,A23
08,D34
08,C32
08,C22
08,D24
08,C10
08,D33
08,E32
08,A13
08,D51
08,A02
08,C11
08,A02
08,D21
08,B43
08,D14
08,D05
08,D01
08,C11
08,B35
08,C22
08,D20
08,D01
08,B35
08,C01
08,C35
08,D45
08,D35
08,D34
08,D24
08,D44
08,B14
08,A11
08,B11
08,A25
08,A53
08,A23
08,D05
08,D15
08,C11
08,B21
08,C12
08,C52
08,C01
08,D35
08,C50
08,D12
08,C42
08,C52
08,D01
08,E10
08,B53
08,B25
08,D51
08,D04
08,D55
08,B23
09,B05
09,D52
09,D30
09,A33
09,D24
09,C23
09,D00
09,C30
09,A52
09,B50
09,D34
09,D23
09,D23
09,E45
09,D45
09,C00
09,C52
09,D21
09,C04
09,B03
09,D10
09,D15
09,C51
09,A33
09,C42
09,D10
09,C05
09,D23
09,D20
09,D13
09,C10
09,C42
09,A41
09,C22
09,D41
09,B00
09,B44
09,D25
09,D11
09,C00
09,C35
09,E24
09,C33
09,B53
10,A43
10,D20
10,A31
10,C40
10,B22
10,D12
10,D55
10,B44
10,D32
10,C42
10,D54
10,B25
10,D23
10,C12
10,C12
10,D33
10,A35
10,A53
10,D24
10,B33
10,A15
10,D33
10,D24
10,C50
10,B34
10,D20
10,D15
10,B01
10,D51
10,D40
10,C15
10,D03
10,D00
10,D30
10,E04
10,E13
10,D33
10,D13
10,C02
10,A40
10,C33
10,D50
10,D20
10,E32
10,D11
10,C43
10,D51
10,B54
10,D24
10,D50
10,D04
10,D15
10,D03
10,B45
10,E11
10,C01
10,D14
10,D51
10,C53
10,C13
10,D14
10,E03
10,D12
10,A45
10,D23
10,C00
10,D01
10,C21
11,D25
11,C40
11,C01
11,B55
11,B23
11,D30
11,D25
11,C42
11,D35
11,D54
11,D21
11,C42
11,A30
11,D20
11,D14
11,A35
11,D11
11,D45
11,D50
11,D32
11,D51
11,D50
11,C52
11,C30
11,B20
11,B50
11,D15
11,C41
11,D40
11,A45
11,D43
11,D55
11,A45
11,D51
11,C24
11,D34
11,D30
11,E22
11,C14
11,B21
11,C21
11,D53
11,A51
11,C12
11,C41
11,D41
11,D32
11,C40
11,C11
11,D15
11,D30
11,A10
11,D20
11,D30
11,D45
11,C45
11,D41
11,C01
11,A03
11,C14
11,C14
11,D11
11,B04
11,D33
11,C11
11,B23
11,D31
11,D32
11,B45
11,D13
11,B33
11,D21
11,C32
11,D44
11,D55
11,D13
11,E14
11,D50
11,B32
11,D15
11,D35
11,D10
11,C54
11,C25
11,D40
11,D35
11,D42
11,D54
11,C34
11,D05
11,C25
11,D35
11,D00
11,D21
11,D41
11,C15
11,C41
11,D14
11,C04
11,B43
11,C45
11,D53
11,C53
11,C43
11,D11
11,A44
11,D43
12,C20
12,A30
12,D21
12,C22
12,A10
12,D30
12,C50
12,D43
12,D42
12,D12
12,C24
12,A33
12,D45
12,A43
12,D32
12,E02
12,A52
12,D55
12,B20
12,B52
12,D02
12,B25
12,B23
12,B11
12,D13
12,C44
12,B33
12,D22
12,C21
12,C20
12,A54
12,D25
12,C41
12,D40
12,D45
12,D24
12,D14
12,C11
12,B42
12,D05
12,B51
12,D15
12,A21
12,D33
12,D30
12,A34
12,C00
12,B33
12,C45
12,D45
12,D52
12,C52
12,D43
12,D21
12,D41
12,C43
12,C52
12,B11
12,C35
12,A05
12,D54
