month,id-product
01,A23
01,C34
01,B35
01,D52
01,D21
01,C35
01,D10
01,D51
01,C01
01,D25
01,E43
01,D51
01,C43
01,D44
01,D14
01,C20
01,B12
01,D53
01,D22
01,D20
01,D31
01,D21
01,D21
01,C51
01,D22
01,C24
01,C51
01,C05
01,D53
01,D02
01,D34
01,A44
01,C55
01,B53
01,D25
01,D03
01,A54
01,D21
01,C13
01,C10
01,A13
01,C01
01,C43
01,D43
02,A01
02,C21
02,E02
02,C54
02,D53
02,D01
02,B21
02,D20
02,A00
02,C04
02,D11
02,D03
02,B04
02,C53
02,D15
02,D10
02,E25
02,C52
02,D30
02,D52
02,D34
02,A00
02,B14
02,C44
02,E52
02,C11
02,C54
02,D14
02,D41
02,D54
02,C35
02,C40
02,B50
02,D42
02,D30
02,C15
02,C44
02,D32
02,D22
02,D24
02,B12
02,D13
02,D55
02,D52
02,D50
02,D20
02,D42
02,C32
02,D01
02,A11
02,C31
02,E52
02,A41
02,B55
02,D42
02,D23
02,D04
02,D35
02,E24
02,C41
02,C25
02,A14
02,D21
02,B52
02,C53
02,D41
02,C04
02,D32
02,B03
02,D55
02,E41
02,E32
02,C40
02,D21
02,C15
02,C15
02,C05
02,B30
02,B24
02,D40
02,D35
02,D41
02,D05
02,A52
02,D32
03,D34
03,A12
03,D21
03,C43
03,D32
03,C00
03,D31
03,E45
03,D31
03,D22
03,C34
03,C41
03,C50
03,D13
03,A11
03,D05
03,C11
03,B13
03,D04
03,D42
03,B42
03,D01
03,C45
03,D32
03,D31
03,C44
03,C34
03,B30
03,D44
03,D04
03,C52
03,D42
03,D00
03,C23
03,A23
03,D51
03,D00
03,D45
03,D30
03,B15
03,C31
03,C43
03,D45
03,D15
03,D40
03,D33
03,A52
03,D15
03,D40
03,D51
03,D24
03,A12
03,D51
03,B42
03,B15
03,D23
03,B25
03,A02
03,C24
03,C02
03,C23
03,C11
03,D54
03,B22
03,C45
03,C30
03,D11
03,C10
03,B20
03,C11
03,C10
03,D53
03,C42
03,D31
03,D52
03,B45
03,E55
03,C01
03,B54
03,B02
03,D53
03,A55
03,C44
03,D32
03,D45
03,A34
03,D42
03,B10
03,D35
03,B23
03,B55
03,C32
03,B24
04,D40
04,B53
04,E41
04,D41
04,D30
04,B40
04,B03
04,D50
04,A51
04,A03
04,E04
04,C45
04,D51
04,D00
04,C25
04,C00
04,B52
04,C50
04,D00
04,D54
04,C22
04,E55
04,B35
04,B51
04,D35
04,C54
04,D35
04,D04
04,B34
04,C10
04,A22
04,D55
04,A53
04,B50
04,C30
04,D55
04,B20
04,D00
04,B05
04,C22
04,D44
04,D00
04,A44
04,B40
04,D33
04,C45
04,E41
04,D22
04,B43
04,C55
04,C21
04,E52
04,D35
04,D11
04,D03
04,D33
04,A00
04,D20
04,E01
04,D34
04,C10
04,A21
04,C10
04,C42
04,D41
04,D15
04,D53
04,D50
04,D01
04,B50
04,A52
04,D53
04,D34
04,C44
04,C34
04,D24
04,D50
04,A02
04,D33
04,B35
04,D33
04,D43
04,C35
04,A14
04,D11
04,D35
04,D44
04,D10
04,C54
04,B30
04,D01
04,C52
04,D45
04,B30
04,D33
04,B21
04,A55
04,E32
04,D55
04,A34
04,D30
04,D11
04,C43
04,E33
04,B22
04,A25
04,C30
04,C44
04,C13
04,D11
04,D31
04,D54
04,D23
04,D13
04,D44
04,A04
04,D31
04,A43
05,C43
05,D42
05,C14
05,D10
05,D45
05,D10
05,D31
05,D13
05,D42
05,C50
05,A02
05,D50
05,D11
05,D54
05,C12
05,A24
05,B44
05,D54
05,D53
05,B33
05,D40
05,B40
05,B54
05,D23
05,C50
05,A51
05,C50
05,A23
05,C52
05,C42
05,D45
05,D00
05,C32
05,B52
05,E35
05,D44
05,D11
05,D21
05,A45
05,D35
05,D03
05,C53
05,D23
05,D52
05,C11
05,D31
05,B41
05,C11
05,B10
05,C04
05,D05
05,B54
05,D42
05,D43
05,D51
05,E03
05,D35
05,B53
05,D25
05,D25
05,B11
05,D04
05,C43
05,C03
05,D04
05,C13
05,E00
05,D25
05,B13
05,B10
05,D34
05,C44
05,B51
05,D13
05,C40
05,D15
05,D20
05,D10
