y,z,w,X
860.8554645285473,241134.39787313552,6.329570266141533,283.50488310959224
48.30608071412536,501.49412872585134,5.863992074725215,12.815261845565033
351.83038910789634,39083.30499670461,5.504133649631678,114.12580219610453
498.9543675274268,80363.70387551616,5.97780142450294,163.66092458078828
187.6386547876807,10451.389972538613,5.47010331466003,58.9997634092868
383.99657752381427,46872.14116797376,5.688720072388747,124.98204519533454
-45.45320226588245,1045.872204338106,5.6490735220506005,-18.594823421150352
-406.5723146776933,57070.723357799376,4.86711773918204,-137.9125408756273
-447.63466350749286,69263.03655976242,5.086102042252459,-151.93548456148974
740.089406288992,177690.5796538198,6.127604991013784,243.36597623263037
-856.1485281726297,250292.39176835062,2.3780460275561035,-288.8378922963825
-589.3401091351083,120520.94328289009,4.77842540013642,-200.4259012593078
858.5012288419272,239688.61305739393,6.1973448980096855,282.65393336240413
388.4761935014888,48083.76003230467,5.936958272078226,126.59021906878985
198.57112375941307,11854.409691825575,5.7901970399668015,62.83314506974699
337.88366219084145,35672.67462374949,6.19274838908766,109.03172603657612
433.4960157314007,59499.53328408827,5.894130394098304,140.8174962637866
-838.5355189348544,239594.00281292282,3.355247410728911,-282.59722838577085
624.2521647859212,126184.34535583403,6.497253162530977,205.08031431251152
-159.19448114180238,9331.15821204541,5.623433080947368,-55.74197793590224
-181.79243982189917,11958.909559940505,5.642031652052015,-63.10753593821849
-776.5381291267586,205446.4749663192,3.7133042757986914,-261.6850367230667
-95.09936793095375,3781.240199770569,5.91667561763961,-35.4480218437148
-91.61965774202322,3484.470205990089,5.544644017635866,-34.03549763627802
423.2334441924483,56727.86477030273,5.818253065057829,137.50015401338356
336.1655067789696,35377.470607280775,6.143892272527781,108.57720849032427
228.03164723497054,16130.69028198402,5.929172455279371,73.30377874430559
273.4231861269757,23130.000700046105,5.9361478807520145,87.78851236649433
438.1163980485279,61301.98281610309,5.880014480452015,142.93498153311612
-806.6972304504347,221846.60128566707,3.814096905034175,-271.9276177256877
-884.254730063108,266394.4361710922,1.0488401110969012,-297.9851450033028
602.0743870549603,116433.07990873208,6.524452127804118,196.99613969979845
-196.83706482562292,14342.059236126373,5.49797083699086,-69.11657798895766
753.2444416382126,184124.6960018712,6.7954489056193355,247.7329082513861
-333.17940565200274,39529.85942998863,5.571348686170339,-114.77519322451178
831.8984085810703,225529.07681359473,6.248537157872398,274.1763323718976
-189.01063293181312,13142.662876749126,5.572408584274917,-66.16330956136227
673.9556390361605,146997.39391816073,6.158229326672993,221.34931875755683
557.4348251799263,100268.88295827848,6.581398805987522,182.81222970846073
-552.7463847993857,105347.80580745821,4.338307891168977,-187.38382208277216
-850.108722297213,246885.18016388686,2.7186254812656823,-286.86558936160645
-221.02786731727232,17607.084291066752,5.396669814622192,-76.58831551467793
-672.4307226853482,155028.09976787108,4.432359360594087,-227.31760888984934
595.9025389866249,113763.04731881397,6.316346154293441,194.7238329192826
-522.2529977107581,94407.09817235048,5.079935766545448,-177.385650525113
-438.6301330120331,67046.4687818404,4.623276280541008,-149.48460104704574
488.42057792169726,77077.65221010943,5.909375923135428,160.2788480615755
-824.3550178448968,231635.12019765485,3.290226731343376,-277.86385406388985
-284.2342339467477,29100.941783914346,5.068604280757398,-98.47050589645215
158.5096085224592,7491.391275762532,6.012367720415252,49.93997951782967
589.604552340533,112356.00082058924,6.044361690507238,193.51639619835532
-661.4378831975375,150728.91386768717,4.517220951184968,-224.1414619132758
243.6050092068771,18344.004950370218,5.895764316761157,78.17528838524584
157.77496526268172,7291.626671817032,5.67825390518321,49.26504161049752
-492.7605245887938,84291.559248683,4.859451745452016,-167.61219895438018
289.1771821209973,26052.065372881127,6.118674794065034,93.16925654255118
-548.1528076671879,103869.59428798799,4.711680870079783,-186.06409024107447
-632.1876517114994,138345.43591405402,4.449998545572834,-214.73630649685475
615.6164013702137,122252.76133669783,6.485117932253111,201.86109716327377
404.6894692401461,51845.91175582493,5.945782750233463,131.44776680933592
