strata,daily_liters_person
1,143.42640931196772
1,129.06372626187658
1,121.56684683560233
1,127.61391291665558
1,147.4879673113081
1,131.1067634061217
1,149.81864556459504
1,121.30961149362726
1,130.74509441487123
1,131.159632469838
1,129.5657328758305
1,127.38910262620567
1,123.12500023110239
1,130.02855244983354
1,148.73224648849015
1,130.2390041526469
1,138.83126510966866
1,130.15414095456697
1,133.6480732988377
1,133.986481078109
1,125.5610860612887
1,137.35270612730903
1,144.80131092403775
1,135.15558307161947
1,143.86115123209996
1,144.54156836878292
1,124.81634155624756
1,125.86430639605726
1,131.49180985251152
1,130.48012456020646
1,120.2179023878707
1,131.30555908127994
1,133.98543814859886
1,136.37235511634643
1,138.16357817635458
1,112.56474402987976
1,147.45466216613147
1,128.7749478461317
1,135.59992648713808
1,109.80748622840721
1,124.6937467342579
1,119.64423858688576
1,120.68532248064771
1,135.17815966214772
1,122.40423440935146
1,132.36817317652043
1,132.7147995588207
1,112.06817963378401
1,124.16417699942104
1,132.4297241019463
1,137.59333860765173
1,133.40971046724874
1,132.63798637643137
1,122.32934921104525
1,120.23176152146875
1,128.23678980075834
1,128.0285123234204
1,132.58335376963777
1,128.48135681483924
1,134.39847837670865
1,148.84128016012556
1,145.08778592263752
1,136.23672550769152
1,126.4307519673055
1,126.3690125542975
1,125.0271850781608
1,135.92909613710378
1,140.49745801369104
1,131.28393750962948
1,138.6570589706134
1,144.0372880643869
1,124.10040107489438
1,113.13495884746445
1,145.60028978424475
1,119.54126234751703
1,112.73327082851696
1,127.60123638419805
1,132.92545562875
1,154.31807606533133
1,125.72959019717281
1,125.58916467281966
1,116.61263723613115
1,123.34718630515545
1,116.73768265618945
1,126.71547867474513
1,133.45362722110113
1,136.6074631047894
1,133.27282734336183
1,139.88555751229427
1,128.53206905334167
1,129.87395299510123
1,127.12246367704871
1,137.8083470344912
1,110.36736863087162
1,135.19927168140876
1,129.51589142927838
1,139.98029888239344
1,127.80820158676855
1,120.78909487669416
1,141.21420463010412
1,132.8533199988684
1,119.57921323445356
1,131.1086915864218
1,126.36681058691838
1,138.04967597317076
1,121.41811832209626
1,138.15238693762973
1,129.69270738035524
1,149.92219874451789
1,131.4348652819005
1,132.29697509667938
1,143.1144962008199
1,133.8750572858327
1,143.03362597957062
1,147.69655788340802
1,137.9437766921547
1,125.83724308843405
1,130.07594571850734
1,140.11497337313915
1,143.35518776480887
1,123.76499497473273
1,152.27418584787787
1,122.30234507314864
1,144.8925335799849
1,132.5871816569407
1,133.679732992241
1,131.32840709338126
1,121.97539656183616
1,146.0410711446526
1,142.53407465181917
1,124.50082311881913
1,132.93519304066055
1,147.5449318901342
1,138.18341310942088
1,136.58456891344292
1,130.62743391869353
1,132.18677978688376
1,112.70168434682088
1,142.72460471536294
1,135.3193316536228
1,138.79130265275404
1,109.52896973731073
1,137.1101457118074
1,131.6856704736048
1,143.24865072078182
1,121.76555798469465
1,130.81330898692772
1,128.80411609260798
1,127.12679784948655
1,138.0410592613219
1,134.29525598693175
1,119.27586332692768
1,120.88224773148163
1,126.80393511477274
1,120.81690666485557
1,115.5132314812896
1,132.8085882575597
1,133.4094142423561
1,134.40337715785728
1,135.737220740037
1,139.4034120036106
1,130.08143415534053
1,146.0685966459833
1,129.8754729855094
1,124.79934988780056
1,113.25328464640228
1,120.09856258197607
1,126.91708769001072
1,120.50720138137562
1,125.85980759008037
1,131.62704412451603
1,124.69737925424309
1,139.17978970558653
1,127.50867146861115
1,124.46298477430123
1,137.8334486504327
1,131.08848787727024
1,130.75795064551681
1,131.9932057022943
1,122.92178075737216
1,135.2628206475425
1,110.54864987284017
1,115.5711130294134
1,126.90901167463514
1,117.32475391920346
1,131.85494329122213
1,113.87270249608208
1,149.9061873112086
1,140.34891079578352
1,112.08741617016514
1,128.81912839345145
1,117.92758469448256
1,108.33275417884084
1,123.76981362168097
1,130.33779902685532
1,138.68888972925745
1,142.64860681936736
1,131.30674621712083
1,135.4857288344695
1,117.4055834176146
1,132.281311322958
1,125.37324040261586
1,116.92631119026198
1,147.41382885907248
1,145.35344845582165
1,110.45455392770334
