price,genre,new_release,subtitled
9.711169362061147,Comedy,Yes,yes
12.445773352230193,Comedy,Yes,yes
8.452245139773048,Comedy,Yes,no
8.30707878261004,Comedy,Yes,no
18.393122290010858,Comedy,Yes,yes
16.10362333189196,Comedy,Yes,yes
10.90163150697487,Comedy,Yes,yes
11.656984611320809,Comedy,Yes,yes
13.606090270447353,Comedy,Yes,yes
15.515738945545127,Comedy,Yes,yes
14.558757430332019,Comedy,Yes,yes
5.345115563550945,Comedy,Yes,no
11.629966533728496,Comedy,Yes,yes
11.445651515741263,Comedy,Yes,yes
15.941667340661798,Comedy,Yes,yes
14.075717362366355,Comedy,Yes,no
2.5234507613584096,Comedy,Yes,yes
9.042629851438981,Comedy,Yes,no
17.20610123809948,Comedy,Yes,no
8.775721056657712,Comedy,Yes,no
8.371034217913348,Comedy,Yes,no
12.437940041649197,Comedy,Yes,no
23.52577567772302,Comedy,Yes,yes
6.445089902577612,Comedy,Yes,no
8.22165078783693,Comedy,Yes,yes
11.02648510269363,Comedy,Yes,yes
11.740454247650044,Comedy,Yes,yes
12.625088272601666,Comedy,Yes,yes
10.533761111101331,Comedy,Yes,yes
15.90523917445653,Comedy,Yes,yes
7.675824059614467,Comedy,Yes,yes
7.2053858445843435,Comedy,Yes,yes
1.0490733841730204,Comedy,Yes,yes
3.0869568457970606,Comedy,Yes,yes
7.0869704062730055,Comedy,Yes,no
12.770581172112136,Comedy,Yes,yes
5.466262033225229,Comedy,Yes,yes
11.009308498642204,Comedy,Yes,yes
6.2759502077858365,Comedy,Yes,yes
11.861530862430685,Comedy,Yes,yes
1.0923247704652734,Comedy,Yes,yes
9.731828178657329,Comedy,Yes,no
4.362017888503552,Comedy,Yes,no
6.647056350963269,Comedy,Yes,yes
5.301878996116412,Comedy,Yes,yes
11.67539898805662,Comedy,Yes,yes
12.041936443749508,Comedy,Yes,no
7.514453860840411,Comedy,Yes,no
11.855142600778075,Comedy,Yes,yes
15.928968857995141,Comedy,Yes,yes
10.809506755323005,Comedy,Yes,yes
11.51669643992891,Comedy,Yes,no
10.48255359571567,Comedy,Yes,no
14.549246363148317,Comedy,Yes,yes
15.838778455142535,Comedy,Yes,yes
6.852953769019802,Comedy,Yes,no
4.333574246862201,Comedy,Yes,no
10.61873839463269,Comedy,Yes,yes
13.563452580062316,Comedy,Yes,yes
7.88790268910173,Comedy,Yes,no
13.980320330120188,Comedy,Yes,yes
10.489872391645019,Comedy,Yes,yes
10.730037423616732,Comedy,Yes,no
13.210862377401014,Comedy,Yes,no
13.941860128960172,Comedy,Yes,no
6.706524590822342,Comedy,Yes,yes
10.436026717232677,Comedy,Yes,yes
1.3130644848114308,Comedy,Yes,no
7.920124634156419,Comedy,Yes,no
5.6567920936754446,Comedy,Yes,yes
