total_income,total_cost,total_assets
45174.762932831014,347.3722159719256,175755.90062244143
70508.25543142199,1740.4662484446853,178565.718836282
61820.00876009179,960.2649774489887,178082.99024673828
40058.577803698885,1615.5466264534086,180418.61130265164
51341.34828686916,-1133.6098437413236,179717.9571271175
78463.41734307345,-23.279031902537305,178565.92613433982
28864.71190467883,1135.2678544887383,173587.27374527787
53161.873432830274,2894.553980279549,177823.95315619788
73774.90044371595,1704.1776402267938,176525.05944461317
47836.941053532544,1894.9685577262821,172091.17443259337
50121.65491270475,2635.9164444349026,179506.21363912662
57226.51253995673,941.0417913415655,177857.39603940153
76516.90085826836,2198.516025737612,175798.6218395435
50607.94868897046,1021.2253858750099,175045.69713247457
52978.597788088395,24.141087437181458,172437.02393324111
53095.727728963975,1469.2975202647556,176214.92992853685
85207.25776287717,2512.222553951414,176941.72734985308
84974.42540643795,2257.9341091889746,173429.31085339657
70589.8447039323,1879.1021681310058,178816.767700269
63075.239989964466,4478.232719932676,172710.26203653234
67346.37457171104,2338.2834165500312,169937.56662150694
76508.9030450773,2949.9848712836183,178485.7488943046
46996.61511402497,4311.506311889679,174585.49719431865
72679.00189599856,492.88073171756884,175335.0551748297
43128.478365214716,768.8776105892396,173412.11696533771
50621.94118637744,3776.986189322087,171335.23578184485
69410.7388678415,1029.1213673069594,179068.20912087627
