price,job
89591.23495892914,Doctor
126423.10167548398,Doctor
96162.07871386627,Doctor
90724.91953675773,Doctor
75536.57694539633,Doctor
118026.71810692761,Doctor
118478.84797075923,Doctor
104161.01258928407,Doctor
117333.57200576187,Doctor
121267.59329459531,Doctor
124706.14297543494,Doctor
106330.89488554408,Doctor
113621.56617630177,Doctor
106069.91123938054,Doctor
100061.158134574,Doctor
91943.81139344577,Doctor
104970.58304676285,Doctor
112663.44971225894,Doctor
123542.6571567395,Doctor
109405.47999132787,Doctor
106108.684953574,Doctor
132030.2421706343,Doctor
106733.15872184827,Doctor
95671.04837003518,Doctor
125750.05531271138,Doctor
96978.7401202451,Doctor
99005.88332422619,Doctor
110717.56440987744,Doctor
104595.37901800941,Doctor
109111.56708267331,Doctor
110251.88145245107,Doctor
122066.2169877038,Doctor
113058.30038595338,Doctor
99968.23491383405,Doctor
115115.88508226714,Doctor
110292.66102201329,Doctor
98930.75990619023,Doctor
98200.3484894991,Doctor
76765.2446744243,Doctor
80406.82030195791,Doctor
111208.90953084509,Doctor
110830.49154211824,Doctor
111960.06950252263,Doctor
117590.02930392865,Doctor
93303.43930834821,Doctor
100118.59102027351,Doctor
102613.54319778846,Doctor
113542.04378304072,Doctor
121954.8745758275,Doctor
98901.31106810542,Doctor
86338.31674818113,Doctor
114762.54334151483,Doctor
130316.55976689214,Doctor
103352.90995516839,Doctor
113559.16232360234,Doctor
100911.87424473485,Doctor
84573.46006629657,Doctor
109605.40911703199,Doctor
77151.95493456673,Doctor
126335.82709059691,Doctor
119477.82475953343,Doctor
81396.98005690877,Doctor
98376.14269811062,Doctor
95265.29105886791,Doctor
133988.8509698404,Doctor
99052.95722195151,Doctor
106211.44429539845,Doctor
102986.14435235922,Doctor
119963.43754130145,Doctor
97814.54305616554,Doctor
103143.93330745974,Doctor
132357.97238239105,Doctor
75551.15726872842,Doctor
115724.74214330436,Doctor
131113.54532607069,Doctor
82107.43258458248,Doctor
110802.09340649252,Doctor
112448.54706227616,Doctor
108994.32225347066,Doctor
111148.59059101535,Doctor
88437.87289997442,Doctor
90107.52172604088,Doctor
112683.19831174161,Doctor
86900.21983898175,Doctor
113581.45703891531,Doctor
87786.89190525928,Doctor
90167.48593102925,Doctor
111140.09754119851,Doctor
89820.30980765051,Doctor
101108.4445889766,Doctor
109898.83834620033,Doctor
104672.64248649571,Doctor
95797.93373766195,Doctor
124373.22349787937,Doctor
91721.48720803623,Doctor
108395.34008977283,Doctor
92037.89037680079,Doctor
115305.26662377574,Doctor
119976.50508352302,Doctor
134167.23957996443,Doctor
116529.08317079532,Doctor
97056.65681355428,Doctor
133574.8530177895,Doctor
88745.36275214226,Doctor
111247.62393909805,Doctor
116627.22092798993,Doctor
122597.63630782047,Doctor
114297.06754977492,Doctor
104300.02144158132,Doctor
121004.61961560721,Doctor
95496.68496491309,Doctor
123054.94610870046,Doctor
96842.93966489876,Doctor
104032.07119064503,Doctor
94456.20109468147,Doctor
124025.74391541876,Doctor
111614.5888111357,Doctor
116038.26140401357,Doctor
101233.59169428806,Doctor
111450.94907052594,Doctor
97204.95829214637,Doctor
76256.29110515038,Doctor
103956.61607350853,Doctor
98194.16351133373,Doctor
124683.70519839361,Doctor
107820.50561192878,Doctor
112299.38168002608,Doctor
121491.3625286131,Doctor
101928.01001061112,Doctor
113213.00244614591,Doctor
88557.35057462157,Nurse
93518.97805642291,Nurse
80633.65198381685,Nurse
62894.965518708865,Nurse
85575.2843667898,Nurse
61877.92899982829,Nurse
100625.19376941746,Nurse
80363.09561404615,Nurse
84607.6829339454,Nurse
74301.21442486416,Nurse
103874.69272947845,Nurse
86120.21395330643,Nurse
54037.13374524946,Nurse
88250.42521645533,Nurse
88368.17121259493,Nurse
97470.09505061615,Nurse
63354.71035847999,Nurse
84328.0202424061,Nurse
91971.15634480258,Nurse
91639.50766853662,Nurse
76779.48486340813,Nurse
67197.83824413497,Nurse
89650.38839905206,Nurse
79112.75898419724,Nurse
87324.87090107834,Nurse
68142.83143310365,Nurse
84161.08694492238,Nurse
85991.3508133635,Nurse
87801.72094478243,Nurse
74708.75315946799,Nurse
80708.74844521403,Nurse
80266.19758423044,Nurse
65214.23519067164,Nurse
63430.84679887208,Nurse
83019.80884666891,Nurse
76179.62287837468,Nurse
99583.60201798234,Nurse
72607.4134784468,Nurse
118932.17973240564,Nurse
95753.74368740352,Nurse
107332.36263800165,Nurse
104704.57945225181,Nurse
64212.74985281948,Nurse
87264.69970159577,Nurse
87025.46680862921,Nurse
70514.23301624233,Nurse
108506.60455379261,Nurse
66911.74650642545,Nurse
93885.67473516759,Nurse
63662.78517591741,Nurse
74510.22655842968,Nurse
74526.35659718305,Nurse
83420.23119533918,Nurse
78958.9038619724,Nurse
85428.42266522202,Nurse
88639.51632415876,Nurse
71983.66999565696,Nurse
99183.4076523312,Nurse
95624.56942203498,Nurse
104933.86688920917,Nurse
115656.71115913436,Nurse
113502.03799951494,Nurse
98909.84936390299,Nurse
96526.28348689302,Nurse
92048.17010023321,Nurse
123101.61627046525,Nurse
95559.05197241057,Nurse
101619.910284408,Nurse
98237.46962003905,Nurse
92471.8705792712,Nurse
77128.42365996809,Nurse
70576.26209228896,Nurse
54668.135515459384,Nurse
89809.73987658578,Nurse
79298.49151834735,Nurse
84470.96105375301,Nurse
80915.95794364095,Nurse
88628.25515486782,Nurse
73247.40080490203,Nurse
84042.67284092837,Nurse
68835.97980009567,Nurse
65157.014910284415,Nurse
95729.88655433062,Nurse
100086.03777759534,Nurse
96487.36658793259,Nurse
77379.07298321769,Nurse
70676.49157400083,Nurse
88156.05257208268,Nurse
82695.6598922567,Nurse
82463.71211507202,Nurse
67910.71745560865,Nurse
93121.73611714767,Nurse
78151.04522222717,Nurse
68439.99823624015,Nurse
91465.01379529228,Nurse
75889.08298866187,Nurse
74828.25837552939,Nurse
90866.44849179818,Nurse
79040.90654022041,Nurse
