mall,quantities
mall A,456.8036633388592
mall A,243.04698741177188
mall A,397.5602019777955
mall A,380.0053834793712
mall A,434.81278009456724
mall A,432.17637521521493
mall A,328.9397152259396
mall A,493.3729178067237
mall A,461.6083166827699
mall A,422.5193764835839
mall A,523.1515488389689
mall A,448.785752922428
mall A,463.1294786646619
mall A,443.0935216382242
mall A,344.347059495239
mall A,451.86421580570965
mall A,341.2933607664752
mall A,419.2456902579108
mall A,444.83311500286237
mall A,643.675800371573
mall A,581.7594874174299
mall A,359.14380001252295
mall A,337.3166808768282
mall A,284.24487314341434
mall A,504.2928615174752
mall A,429.7439099448951
mall A,434.9141613367821
mall A,361.51941333380023
mall A,604.4605033114709
mall A,256.086573448009
mall A,477.98249124634526
mall A,571.4549058933982
mall A,504.14936131506954
mall A,376.97039980560515
mall A,423.23133445693475
mall A,347.6758428768912
mall A,431.3721657987092
mall A,408.27660736530464
mall A,392.0743222100182
mall A,605.3320555096413
mall A,519.5375097412975
mall A,523.2918571226996
mall A,589.7732315319598
mall A,455.62466020549846
mall A,379.55216996692656
mall A,490.71718885122795
mall A,438.1420294438571
mall A,554.7143939074765
mall A,304.8340732851935
mall A,544.9809135636378
mall A,362.59514641311114
mall A,588.4489778281707
mall A,436.20745086740493
mall A,378.03558602188355
mall A,199.96531097589192
mall A,416.3782106477949
mall A,418.5390266884813
mall A,300.28559796564093
mall A,441.6727382090128
mall A,522.2889018597174
mall A,356.9734164312673
mall A,477.2095185353803
mall A,589.4666649056267
mall A,506.5326503465334
mall A,427.28316234802537
mall A,348.6627882573683
mall A,539.5124590286057
mall A,427.9532661202365
mall A,381.7357107156662
mall A,453.1637679615927
mall A,413.9519789817997
mall A,235.06125608605132
mall A,335.9744043470422
mall A,396.0337747373594
mall A,361.65422122134197
mall A,517.9900392259256
mall A,537.0864768150022
mall A,508.049506288811
mall A,556.4126924701029
mall A,432.6624708785301
mall A,418.72515224391645
mall A,342.53552698042114
mall A,255.1631888433124
mall A,475.41452726042206
mall A,513.0216175330879
mall A,369.1475944630398
mall A,552.2886196410939
mall A,337.2775823893699
mall A,495.8092085728987
mall A,343.4317685167596
mall A,447.40754040369717
mall A,319.7555764988914
mall A,512.2319973370363
mall A,506.9245428912335
mall A,388.7479550008136
mall A,390.62655038388823
mall A,474.0331487419038
mall A,514.308240701774
mall A,497.7973836456082
mall A,403.4270178549088
mall A,586.5691976770438
mall A,398.92728643555813
mall A,593.0908166835644
mall A,376.5864710316633
mall A,556.5536826185053
mall A,458.6809084955753
mall A,439.45195768383104
mall A,464.63132756536794
mall A,543.6313552044634
mall A,468.8447048740531
mall A,428.6975406670897
mall A,555.1497561561042
mall A,515.3839441654084
mall A,239.50450946312242
mall A,328.30679325786525
mall A,445.9270731510995
mall A,417.1261854276311
mall A,380.15173722884435
mall A,510.3979616449724
mall A,460.1224986158535
mall A,236.97072091818006
mall A,514.6347339415809
mall A,447.91448171204485
mall A,450.56553357492055
mall A,345.0035530550374
mall A,403.92992037656046
mall A,251.29831611892942
mall A,356.0630222841013
mall A,626.5603064550666
mall A,594.2518419768968
mall A,463.96884512534297
mall A,387.69154962300183
mall A,418.99318032693316
mall A,365.899378897065
mall A,518.3293795585494
mall A,551.9685788808792
mall A,394.67981046299843
mall A,424.78293815154336
mall A,526.9870371780205
mall A,441.4500058998318
mall A,533.3511013852752
mall A,490.3790995025172
mall A,412.09122414056384
mall A,540.7069760859965
mall A,406.76681502974543
