id-book,date,id-client,semester
SS13411,2024-02-14,101,sem1
ECON30303,2024-06-24,101,sem1
SF42313,2024-06-18,102,sem1
TECH04023,2024-03-28,103,sem1
SF21304,2024-02-01,103,sem1
ECON01302,2024-05-10,103,sem1
SS22213,2024-05-15,104,sem1
O01001,2024-03-12,105,sem1
SF01401,2024-02-12,106,sem1
SF43222,2024-05-02,107,sem1
ECON22023,2024-02-21,107,sem1
TECH12343,2024-05-19,108,sem1
SF11301,2024-06-06,109,sem1
TECH14413,2024-02-13,109,sem1
TECH44443,2024-01-05,111,sem1
TECH44441,2024-06-15,114,sem1
ECON00424,2024-02-07,117,sem1
SF23344,2024-01-20,117,sem1
NAT23211,2024-06-22,117,sem1
TECH20111,2024-04-25,117,sem1
SF22230,2024-06-28,119,sem1
ECON24243,2024-04-12,120,sem1
ECON12003,2024-05-07,120,sem1
TECH00222,2024-04-10,121,sem1
ECON21143,2024-05-16,122,sem1
NAT24322,2024-05-04,122,sem1
O11304,2024-06-25,122,sem1
TECH21133,2024-05-09,123,sem1
O40010,2024-06-21,123,sem1
ECON10123,2024-04-20,124,sem1
TECH14003,2024-06-02,125,sem1
SS22400,2024-01-04,125,sem1
ECON03014,2024-06-11,125,sem1
SF21424,2024-01-06,129,sem1
SF12300,2024-05-12,129,sem1
TECH30224,2024-04-15,130,sem1
SS40002,2024-06-18,130,sem1
ECON13211,2024-02-12,130,sem1
O04140,2024-01-21,130,sem1
NAT02444,2024-04-15,131,sem1
TECH00012,2024-01-05,131,sem1
SS22300,2024-01-25,132,sem1
ECON03401,2024-06-09,134,sem1
SF20202,2024-06-14,134,sem1
ECON04041,2024-03-27,134,sem1
ECON31403,2024-05-12,135,sem1
TECH10241,2024-01-19,135,sem1
SF30044,2024-06-01,137,sem1
SS41244,2024-01-22,137,sem1
NAT41130,2024-06-14,137,sem1
SF33410,2024-01-23,138,sem1
TECH34220,2024-01-15,139,sem1
ECON11331,2024-02-22,139,sem1
SS11002,2024-03-10,140,sem1
SS01130,2024-04-11,140,sem1
TECH11042,2024-01-06,141,sem1
ECON00000,2024-02-12,143,sem1
TECH02133,2024-04-20,144,sem1
TECH21414,2024-01-25,145,sem1
SF43112,2024-03-17,145,sem1
TECH21402,2024-03-08,146,sem1
NAT32420,2024-05-16,147,sem1
SF41013,2024-03-08,147,sem1
NAT04443,2024-04-18,149,sem1
ECON32134,2024-03-07,150,sem1
ECON14430,2024-01-15,151,sem1
O24012,2024-06-04,151,sem1
TECH21333,2024-03-14,151,sem1
ECON32312,2024-04-11,152,sem1
SF20242,2024-04-04,152,sem1
ECON42140,2024-05-25,152,sem1
ECON14002,2024-02-25,153,sem1
